date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:10:13	905/905	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%220c233f60809913a00af2ed653da0f48d%22	https://academo.org/demos/logic-gate-simulator/symbols/and.svg	E:/My%20Web%20Sites/PS1/academo.org/demos/logic-gate-simulator/symbols/and.svg	(from https://academo.org/demos/logic-gate-simulator/)
13:10:13	1154/1154	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%228a915b106c6be5f1c7c146ed62223466%22	https://academo.org/demos/logic-gate-simulator/symbols/nand.svg	E:/My%20Web%20Sites/PS1/academo.org/demos/logic-gate-simulator/symbols/nand.svg	(from https://academo.org/demos/logic-gate-simulator/)
13:10:13	1493/1493	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%2233e742971f3624031517f94c4e3a1a54%22	https://academo.org/demos/logic-gate-simulator/symbols/nor.svg	E:/My%20Web%20Sites/PS1/academo.org/demos/logic-gate-simulator/symbols/nor.svg	(from https://academo.org/demos/logic-gate-simulator/)
13:10:14	34460/34460	---M-Z	200	added ('OK')	application/javascript	etag:%22eb5f8eaa023447a74c622c185b6bfaa9%22	https://academo.org/js/all.js?v=1583410376	E:/My%20Web%20Sites/PS1/academo.org/js/all45bf.js	(from https://academo.org/demos/logic-gate-simulator/)
13:10:14	1482/1482	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%22fd7238472a4688ce93322c83eec8551e%22	https://academo.org/demos/logic-gate-simulator/symbols/xor.svg	E:/My%20Web%20Sites/PS1/academo.org/demos/logic-gate-simulator/symbols/xor.svg	(from https://academo.org/demos/logic-gate-simulator/)
13:10:14	1227/1227	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%22623a7ef0821a9c6006c4d9b2b90d98d7%22	https://academo.org/demos/logic-gate-simulator/symbols/or.svg	E:/My%20Web%20Sites/PS1/academo.org/demos/logic-gate-simulator/symbols/or.svg	(from https://academo.org/demos/logic-gate-simulator/)
13:10:14	178574/178574	---M-Z	200	added ('OK')	application/javascript	etag:%2234a9252c14d0ab910f14f6cd453ceaad%22	https://academo.org/demos/logic-gate-simulator/dom.jsPlumb-1.7.2-min.js?v=1465590712	E:/My%20Web%20Sites/PS1/academo.org/demos/logic-gate-simulator/dom.jsPlumb-1.7.2-min3552.js	(from https://academo.org/demos/logic-gate-simulator/)
13:10:15	10951/10951	---M-Z	200	added ('OK')	application/javascript	etag:%22aebff49408a17ca7965e229dbefed52b%22	https://academo.org/demos/logic-gate-simulator/animation.js?v=1465590712	E:/My%20Web%20Sites/PS1/academo.org/demos/logic-gate-simulator/animation3552.js	(from https://academo.org/demos/logic-gate-simulator/)
13:10:17	19780/19780	---M--	200	added ('OK')	image/png	etag:%22bbd0fcb522a55d4aff70adc86e4504d1%22	https://academo.org/img/social-media-sprite.png	E:/My%20Web%20Sites/PS1/academo.org/img/social-media-sprite.png	(from https://academo.org/scss/main.css?v=1583410376)
13:10:18	45229/45229	---MC-	200	added ('OK')	text/javascript	date:Thu,%2006%20Feb%202020%2000:21:02%20GMT	http://www.google-analytics.com/analytics.js	E:/My%20Web%20Sites/PS1/www.google-analytics.com/analytics.js	(from https://academo.org/demos/logic-gate-simulator/)
